Awal pelaporan,Akhir pelaporan,Nama iklan,Penayangan iklan,Hasil,Indikator Hasil,Biaya per Hasil,Anggaran Set Iklan,Jenis Anggaran Set Iklan,Jumlah yang dibelanjakan (IDR),Impresi,Jangkauan,Total kontak pengiriman pesan,Kontak pengiriman pesan baru,Pembelian,Berakhir,Pengaturan atribusi,Tawaran,Jenis tawaran,Editan Signifikan Terakhir,Peringkat kualitas,Peringkat nilai interaksi,Peringkat nilai konversi,Nama set iklan,Harga per pembelian (IDR)
2026-05-14,2026-05-21,Konten 3 LBP (Japanese),active,8,actions:onsite_conversion.messaging_conversation_started_7d,4864.875,200000,Harian,38919,1538,1374,10,7,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:56+0700,Rata-rata,Di atas rata-rata,Di atas rata-rata,Latezza Beauty x CN Mar 16 April,
2026-05-14,2026-05-21,Konten 2 LBP (Paket Nyalon),active,223,actions:onsite_conversion.messaging_conversation_started_7d,3200.161435,200000,Harian,713636,34990,23968,227,209,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:56+0700,Di atas rata-rata,Di atas rata-rata,Di atas rata-rata,Latezza Beauty x CN Mar 16 April,
2026-05-14,2026-05-21,Konten 1 LBP (Nail Art),active,8,actions:onsite_conversion.messaging_conversation_started_7d,5573.875,200000,Harian,44591,1746,1604,9,8,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:56+0700,Di atas rata-rata,Di atas rata-rata,Di atas rata-rata,Latezza Beauty x CN Mar 16 April,
2026-05-14,2026-05-21,Konten 1 GBF (Korean Bouquet) 16 April,active,9,actions:onsite_conversion.messaging_conversation_started_7d,6507.333333,200000,Harian,58566,7682,7464,9,9,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:21+0700,Di atas rata-rata,Di atas rata-rata,Di atas rata-rata,Gaby Florist x CN 16 April,
2026-05-14,2026-05-21,Konten 4 LBP (PL),active,2,actions:onsite_conversion.messaging_conversation_started_7d,11755,200000,Harian,23510,642,538,2,2,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:56+0700,Rata-rata,Di atas rata-rata,Di atas rata-rata,Latezza Beauty x CN Mar 16 April,
2026-05-14,2026-05-21,Konten 2 GBF (Carousel Slide),inactive,2,actions:onsite_conversion.messaging_conversation_started_7d,18501.5,200000,Harian,37003,4886,4434,3,2,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:21+0700,Di atas rata-rata,Di atas rata-rata,Rata-rata,Gaby Florist x CN 16 April,
2026-05-14,2026-05-21,Konten 3 GBF (Reels Red Roses),active,3,actions:onsite_conversion.messaging_conversation_started_7d,10632.66667,200000,Harian,31898,2278,1855,3,3,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:21+0700,Di atas rata-rata,Rata-rata,Rata-rata,Gaby Florist x CN 16 April,
2026-05-14,2026-05-21,Konten 4 GBF (Reels Order Buat Pacar),active,123,actions:onsite_conversion.messaging_conversation_started_7d,6163.03252,200000,Harian,758053,98943,58157,123,121,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,2026-05-25T10:56:21+0700,Di atas rata-rata,Di atas rata-rata,Di atas rata-rata,Gaby Florist x CN 16 April,
2026-05-14,2026-05-21,Surganya Korean Cake (Admin 2),active,183,actions:onsite_conversion.messaging_conversation_started_7d,3847.584699,384615,Harian,704108,85600,52239,184,181,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,0,Di atas rata-rata,Di atas rata-rata,Di atas rata-rata,Cake Admin 2 x CN,
2026-05-14,2026-05-21,Niatnya Beli Kue (Admin 2),active,2,actions:onsite_conversion.messaging_conversation_started_7d,2204.5,384615,Harian,4409,427,371,2,2,,Berlangsung,Klik 7 hari atau tayangan 1 hari,0,ABSOLUTE_OCPM,0,-,-,-,Cake Admin 2 x CN,
